model,preprocessing,label_scheme,subject_held_out,n_val,accuracy,balanced_accuracy,macro_f1,f1_NoPain,f1_PainArm,f1_PainHand,f1_Pain
xgb,global,3class,21,36,0.4444444444444444,0.4444444444444445,0.40644132324947263,0.6451612903225806,0.36363636363636365,0.21052631578947367,
xgb,global,3class,22,36,0.4722222222222222,0.47222222222222227,0.41435406698564586,0.7272727272727273,0.3157894736842105,0.2,
xgb,global,3class,24,36,0.3888888888888889,0.3888888888888889,0.32532051282051283,0.5384615384615384,0.0,0.4375,
xgb,global,3class,25,36,0.3888888888888889,0.3888888888888889,0.26919602529358627,0.5853658536585366,0.2222222222222222,0.0,
xgb,global,3class,27,36,0.5833333333333334,0.5833333333333334,0.5904761904761905,0.7619047619047619,0.47619047619047616,0.5333333333333333,
xgb,global,3class,28,36,0.3611111111111111,0.3611111111111111,0.3284573088494657,0.5714285714285714,0.2962962962962963,0.11764705882352941,
xgb,global,3class,29,36,0.5555555555555556,0.5555555555555555,0.5656966490299823,0.7619047619047619,0.4166666666666667,0.5185185185185185,
xgb,global,3class,30,36,0.3055555555555556,0.3055555555555556,0.3008658008658009,0.35714285714285715,0.09090909090909091,0.45454545454545453,
xgb,global,3class,34,36,0.5,0.5,0.4170692431561997,0.6956521739130435,0.0,0.5555555555555556,
xgb,global,3class,36,36,0.4722222222222222,0.47222222222222215,0.37202380952380953,0.6875,0.0,0.42857142857142855,
xgb,global,3class,37,36,0.4166666666666667,0.4166666666666667,0.37254901960784315,0.6,0.4,0.11764705882352941,
xgb,global,3class,41,36,0.5555555555555556,0.5555555555555556,0.5015873015873016,0.6666666666666666,0.5714285714285714,0.26666666666666666,
