strategy,model,subject,loso_macro_f1,val_macro_f1
nopain_robust,logreg,25,0.5833333333333334,
nopain_robust,logreg,27,0.6666666666666666,
nopain_robust,logreg,28,0.6666666666666666,
nopain_robust,logreg,29,0.4166666666666667,
nopain_robust,logreg,30,0.6666666666666666,
nopain_robust,logreg,34,0.6666666666666666,
nopain_robust,logreg,36,0.8333333333333334,
nopain_robust,logreg,37,0.4166666666666667,
nopain_robust,logreg,41,0.5833333333333334,
nopain_robust,logreg,42,0.6666666666666666,
nopain_robust,logreg,43,0.4166666666666667,
nopain_robust,logreg,44,0.5833333333333334,
nopain_robust,logreg,45,0.5833333333333334,
nopain_robust,logreg,46,0.4166666666666667,
nopain_robust,logreg,47,0.5833333333333334,
nopain_robust,logreg,48,0.5,
nopain_robust,logreg,49,0.5833333333333334,
nopain_robust,logreg,52,0.75,
nopain_robust,logreg,53,0.5833333333333334,
nopain_robust,logreg,55,0.5,
nopain_robust,logreg,56,0.5,
nopain_robust,logreg,57,0.6666666666666666,
nopain_robust,logreg,58,0.4166666666666667,
nopain_robust,logreg,59,0.6666666666666666,
nopain_robust,logreg,60,0.5833333333333334,
nopain_robust,logreg,63,0.4166666666666667,
nopain_robust,logreg,7,,0.5
nopain_robust,logreg,9,,0.5833333333333334
nopain_robust,logreg,10,,0.5833333333333334
nopain_robust,logreg,14,,0.5833333333333334
nopain_robust,logreg,19,,0.5833333333333334
nopain_robust,logreg,35,,0.25
nopain_robust,logreg,38,,0.6666666666666666
nopain_robust,logreg,39,,0.4166666666666667
nopain_robust,logreg,40,,0.6666666666666666
nopain_robust,logreg,61,,0.5833333333333334
nopain_robust,logreg,62,,0.6666666666666666
nopain_robust,logreg,65,,0.3333333333333333
nopain_robust,xgb,1,0.6666666666666666,
nopain_robust,xgb,2,0.5833333333333334,
nopain_robust,xgb,4,0.6666666666666666,
nopain_robust,xgb,5,0.4166666666666667,
nopain_robust,xgb,6,0.3333333333333333,
nopain_robust,xgb,8,0.5833333333333334,
nopain_robust,xgb,11,0.5833333333333334,
nopain_robust,xgb,12,0.5,
nopain_robust,xgb,13,0.3333333333333333,
nopain_robust,xgb,15,0.4166666666666667,
nopain_robust,xgb,16,0.6666666666666666,
nopain_robust,xgb,18,0.6666666666666666,
nopain_robust,xgb,21,0.5,
nopain_robust,xgb,22,0.5,
nopain_robust,xgb,24,0.5833333333333334,
nopain_robust,xgb,25,0.5,
nopain_robust,xgb,27,0.5,
nopain_robust,xgb,28,0.5833333333333334,
nopain_robust,xgb,29,0.5,
nopain_robust,xgb,30,0.6666666666666666,
nopain_robust,xgb,34,0.5833333333333334,
nopain_robust,xgb,36,0.6666666666666666,
nopain_robust,xgb,37,0.5,
nopain_robust,xgb,41,0.5833333333333334,
nopain_robust,xgb,42,0.5,
nopain_robust,xgb,43,0.4166666666666667,
nopain_robust,xgb,44,0.6666666666666666,
nopain_robust,xgb,45,0.5833333333333334,
nopain_robust,xgb,46,0.5,
nopain_robust,xgb,47,0.5833333333333334,
nopain_robust,xgb,48,0.3333333333333333,
nopain_robust,xgb,49,0.5,
nopain_robust,xgb,52,0.4166666666666667,
nopain_robust,xgb,53,0.5833333333333334,
nopain_robust,xgb,55,0.5,
nopain_robust,xgb,56,0.5,
nopain_robust,xgb,57,0.5,
nopain_robust,xgb,58,0.4166666666666667,
nopain_robust,xgb,59,0.5833333333333334,
nopain_robust,xgb,60,0.5833333333333334,
nopain_robust,xgb,63,0.3333333333333333,
nopain_robust,xgb,7,,0.75
nopain_robust,xgb,9,,0.5833333333333334
nopain_robust,xgb,10,,0.4166666666666667
nopain_robust,xgb,14,,0.5
nopain_robust,xgb,19,,0.5
nopain_robust,xgb,35,,0.3333333333333333
nopain_robust,xgb,38,,0.5
nopain_robust,xgb,39,,0.5
nopain_robust,xgb,40,,0.5833333333333334
nopain_robust,xgb,61,,0.4166666666666667
nopain_robust,xgb,62,,0.5833333333333334
nopain_robust,xgb,65,,0.3333333333333333
nopain_z_responder,logreg,1,0.5,
nopain_z_responder,logreg,2,0.4166666666666667,
nopain_z_responder,logreg,4,0.4166666666666667,
nopain_z_responder,logreg,5,0.6666666666666666,
nopain_z_responder,logreg,6,0.5,
nopain_z_responder,logreg,8,0.6666666666666666,
nopain_z_responder,logreg,11,0.5833333333333334,
nopain_z_responder,logreg,12,0.5833333333333334,
nopain_z_responder,logreg,13,0.5,
nopain_z_responder,logreg,15,0.5833333333333334,
nopain_z_responder,logreg,16,0.5833333333333334,
nopain_z_responder,logreg,18,0.6666666666666666,
nopain_z_responder,logreg,21,0.5833333333333334,
nopain_z_responder,logreg,22,0.5,
nopain_z_responder,logreg,24,0.5,
nopain_z_responder,logreg,25,0.4166666666666667,
nopain_z_responder,logreg,27,0.4166666666666667,
nopain_z_responder,logreg,28,0.6666666666666666,
nopain_z_responder,logreg,29,0.4166666666666667,
nopain_z_responder,logreg,30,0.5,
nopain_z_responder,logreg,34,0.6666666666666666,
nopain_z_responder,logreg,36,0.5833333333333334,
nopain_z_responder,logreg,37,0.5833333333333334,
nopain_z_responder,logreg,41,0.5,
nopain_z_responder,logreg,42,0.6666666666666666,
nopain_z_responder,logreg,43,0.5,
nopain_z_responder,logreg,44,0.5833333333333334,
nopain_z_responder,logreg,45,0.5,
nopain_z_responder,logreg,46,0.5,
nopain_z_responder,logreg,47,0.5833333333333334,
nopain_z_responder,logreg,48,0.4166666666666667,
nopain_z_responder,logreg,49,0.5833333333333334,
nopain_z_responder,logreg,52,0.6666666666666666,
nopain_z_responder,logreg,53,0.5833333333333334,
nopain_z_responder,logreg,55,0.3333333333333333,
nopain_z_responder,logreg,56,0.5833333333333334,
nopain_z_responder,logreg,57,0.5833333333333334,
nopain_z_responder,logreg,58,0.4166666666666667,
nopain_z_responder,logreg,59,0.75,
nopain_z_responder,logreg,60,0.5,
nopain_z_responder,logreg,63,0.3333333333333333,
nopain_z_responder,logreg,7,,0.4166666666666667
nopain_z_responder,logreg,9,,0.5
nopain_z_responder,logreg,10,,0.5833333333333334
nopain_z_responder,logreg,14,,0.4166666666666667
nopain_z_responder,logreg,19,,0.3333333333333333
nopain_z_responder,logreg,35,,0.4166666666666667
nopain_z_responder,logreg,38,,0.4166666666666667
nopain_z_responder,logreg,39,,0.5833333333333334
nopain_z_responder,logreg,40,,0.5
nopain_z_responder,logreg,61,,0.6666666666666666
nopain_z_responder,logreg,62,,0.5833333333333334
