mode,split,subject,reactivity,macro_f1
equal_subject,loso,52,4.7716965675354,0.5
equal_subject,loso,53,3.805508613586426,0.6666666666666666
equal_subject,loso,55,4.2115397453308105,0.3333333333333333
equal_subject,loso,56,3.5431220531463623,0.4166666666666667
equal_subject,loso,57,5.192074298858643,0.4166666666666667
equal_subject,loso,58,6.940463542938232,0.4166666666666667
equal_subject,loso,59,6.267582893371582,0.6666666666666666
equal_subject,loso,60,4.816225051879883,0.5833333333333334
equal_subject,loso,63,4.817370414733887,0.3333333333333333
equal_subject,val,7,13.883086204528809,0.5833333333333334
equal_subject,val,9,16.824832916259766,0.5833333333333334
equal_subject,val,10,6.082812309265137,0.4166666666666667
equal_subject,val,14,3.967384099960327,0.6666666666666666
equal_subject,val,19,11.72419261932373,0.3333333333333333
equal_subject,val,35,4.105310440063477,0.5833333333333334
equal_subject,val,38,3.8232855796813965,0.5
equal_subject,val,39,9.087468147277832,0.5
equal_subject,val,40,4.617848873138428,0.5833333333333334
equal_subject,val,61,4.148331165313721,0.5
equal_subject,val,62,5.286617755889893,0.5
equal_subject,val,65,4.017488479614258,0.4166666666666667
